sp,period,habitat,evolR,FAD,LAD,floodageMinHi,floodageMinLo,floodageMaxHi,floodageMaxLo,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Styloichthys_changae,Lower_Devonian_(late_Lochkovian),marine ,5.115,413.6,410.8,92.51004221,87.2891584,89.63855014,83.63453574,277.1047357,222.4845969,277.8234105,219.6098701,21.88098463,20.82763455,2241.509396,1599.99988,2230.188636,1716.981159,19.77612125,13.28358369,21.94029854,16.04477815,1.999999921,1.941666832,1.999999921,1.941666832,202.439027,175.0000033,167.6829257,134.1463412,33.0487802,30.24390335,36.34146376,33.0487802
Eoactinistia_foreyi,Lower_Devonian_(mid-Late_Pragian),,2.061,409.7333333,407.6,89.63855014,82.85140516,89.8996003,82.85140516,273.5113066,216.016441,257.7002131,200.9240223,20.75136596,20.87551344,2230.188636,1735.849082,2211.320713,1720.754758,22.23880712,16.56716391,21.86567281,16.8656725,1.999999921,1.941666832,1.999999921,1.941666832,157.5221405,130.8849544,158.1416001,129.6460353,30.85365939,28.53658457,29.26829461,27.0731738
Euporosteus_yunnanensis,Lower_Devonian_(late_Pragian),marine ,1.5351,408.6666667,407.6,89.37750993,83.11244537,89.8996003,82.85140516,20.84699473,20.87551344,256.6872386,196.1934307,20.79918126,20.89480821,2211.320713,1720.754758,2215.09424,1671.698116,21.86567281,16.8656725,22.08955283,16.41791246,1.999999921,1.941666832,1.740663213,1.653527146,158.1416001,129.6460353,157.2695004,128.1028308,29.26829461,27.0731738,28.78048792,26.70731645
Euporosteus_eifeliensis,Middle_Devonian_(late_Givetian),,1.4329,384.3666667,382.7,96.68674528,96.16465491,99.29718719,96.68674528,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,2011.320725,924.5284051,2041.509444,939.6226569,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Gavinia_syntrips,Middle_Devonian_(uppermost_Givetian),lacustrine ,1.4501,384.3666667,382.7,96.68674528,96.16465491,99.29718719,96.68674528,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,2011.320725,924.5284051,2041.509444,939.6226569,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Miguashaia_grossi,Middle_Devonian_(late_Givetian),,1.587,384.3666667,382.7,96.68674528,96.16465491,99.29718719,96.68674528,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,2011.320725,924.5284051,2041.509444,939.6226569,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Diplocercides_heiligenstockiensis,Upper_Devonian_(earliest_Frasnian),lagoonal ,1.0269,382.7,379.2,99.29718719,96.68674528,102.1686793,97.20883565,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,2041.509444,939.6226569,2015.094324,796.226473,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Gogocoelacanthus_zhumini,Upper_Devonian_(early_Frasnian),marine ,2.3015,382.7,379.2,99.29718719,96.68674528,102.1686793,97.20883565,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,2041.509444,939.6226569,2015.094324,796.226473,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Holopterygius_nudus,Upper_Devonian_(early_Frasnian),lagoonal ,5.7879,382.7,379.2,99.29718719,96.68674528,102.1686793,97.20883565,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,2041.509444,939.6226569,2015.094324,796.226473,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Miguashaia_bureaui,Upper_Devonian_(middle_Frasnian),estuarine,1.587,379.2,375.7,102.1686793,97.20883565,102.1686793,97.99196623,175.7700186,129.0554402,163.5523541,118.9938552,23.04644746,22.80737643,2015.094324,796.226473,1913.207512,637.7358934,16.7164182,10.14924923,18.65671832,12.68656937,1.766666614,1.699999682,1.816666812,1.766666614,260.353986,213.274351,256.6371814,210.7964656,33.29268355,26.82927045,27.19511384,22.92682155
Diplocercides_kayseri,Upper_Devonian_(late_Frasnian),,1.0854,375.7,372.2,102.1686793,97.99196623,101.6465889,98.2530164,163.5523541,118.9938552,155.6467662,111.806997,22.80737643,22.52049193,1913.207512,637.7358934,1837.735821,694.3396616,18.65671832,12.68656937,19.02985263,13.20895512,1.816666812,1.766666614,1.908332731,1.858333486,256.6371814,210.7964656,252.3008937,205.8407182,27.19511384,22.92682155,33.65853624,32.43902416
Shoshonia_arctopteryx,Middle–Upper_Devonian_(Givetian-Frasnian),,1.4104,387.7,372.2,97.99196623,90.94377109,101.6465889,98.2530164,220.3285449,168.5831604,155.6467662,111.806997,21.25855,22.52049193,1935.849034,883.0188887,1837.735821,694.3396616,20.37313557,14.92537523,19.02985263,13.20895512,1.941666832,1.908332731,1.908332731,1.858333486,275.8407111,225.044248,252.3008937,205.8407182,25.85366171,22.92682155,33.65853624,32.43902416
Serenichthys_kowiensis,Upper_Devonian_(Late_Famennian),estuarine,1.493,363.3333333,358.9,98.2530164,74.49798907,95.64257449,71.88754716,165.7084335,121.1499072,195.1745412,141.2730498,21.37295027,20.60792371,1679.245314,683.0189367,1781.132053,335.8492739,21.94029854,16.7164182,25.29850732,20.07462699,2.108333525,1.991666077,2.208333287,2.025000179,163.7168306,134.6017826,106.7256773,88.76106671,28.53658457,26.09756041,31.70731878,28.17073188
Allenypterus_montanus,Lower_Carboniferous_(Serpukhovian),marine ,4.4601,330.9,323.2,81.54618421,71.36545679,76.84739077,65.62249256,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,796.226473,NA,875.4718348,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Caridosuctor populosum,Lower_Carboniferous_(Serpukhovian),marine ,4.1142,330.9,323.2,81.54618421,71.36545679,76.84739077,65.62249256,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,796.226473,NA,875.4718348,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Hadronector_donbairdi,Lower_Carboniferous_(Serpukhovian),marine ,1.2622,330.9,323.2,81.54618421,71.36545679,76.84739077,65.62249256,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,796.226473,NA,875.4718348,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Lochmocercus_aciculiodontus,Lower_Carboniferous_(Serpukhovian),marine ,1.6997,330.9,323.2,81.54618421,71.36545679,76.84739077,65.62249256,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,796.226473,NA,875.4718348,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Polyosteorhynchus_simplex,Lower_Carboniferous_(Serpukhovian),marine ,2.2882,330.9,323.2,81.54618421,71.36545679,76.84739077,65.62249256,297.2279332,196.6119183,305.1334662,208.8295827,17.93032892,17.45218687,796.226473,NA,875.4718348,230.1887915,26.41791025,23.13433003,22.76119572,19.02985263,1.858333486,1.824999384,1.633333386,1.625000179,143.8938177,118.4955743,100.5309873,81.32743392,16.21950976,13.78048559,16.21950976,13.78048559
Rhabdoderma_exiguum,Upper_Carboniferous_(upper_part_of_the_Moscovian),marine,1.6152,311,306,76.32530039,67.18875372,73.71485849,69.27710525,333.0374736,230.1775211,339.2505016,234.3195222,14.91887804,15.33185897,847.5113352,326.2441188,1100.000039,318.0996025,27.99042986,25.19138851,29.71291894,25.98086108,1.384462084,1.360557456,1.344621444,1.304780804,168.9024425,138.4146384,175.6097501,144.5121993,22.0689614,13.67815749,26.66666265,17.70114609
